sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,upper_body,has_nutrition_control,hedges_g,hyp_class
7.0,3.0,1.0,4.0,67.2,9.6,3.0,100.0,1,10.0,2,1.0,23.2,1,0,0.27,Medium
6.0,2.0,1.0,4.0,57.6,9.6,3.0,100.0,1,10.0,2,1.0,23.7,0,0,0.22,Medium
6.0,2.0,1.0,4.0,57.6,9.6,3.0,100.0,1,10.0,2,1.0,23.7,0,0,0.12,Low
14.0,6.0,1.0,4.0,134.4,9.6,3.0,100.0,1,10.0,2,1.0,23.7,1,0,0.42,Medium
12.0,4.0,1.0,4.0,115.2,9.6,3.0,100.0,1,10.0,2,1.0,22.9,0,0,0.62,Medium
12.0,4.0,1.0,4.0,115.2,9.6,3.0,100.0,1,10.0,2,1.0,22.9,0,0,0.58,Medium
28.0,12.0,1.0,4.0,268.8,9.6,3.0,100.0,1,10.0,2,1.0,22.9,1,0,0.54,Medium
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,1.3,High
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,1.42,High
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,1.01,High
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,0.8,High
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,0.75,Medium
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,1.46,High
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,0.61,Medium
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,1.0,22.3,0,0,0.47,Medium
12.0,6.0,2.0,4.0,120.0,10.0,4.09,0.0,0,6.0,2,1.0,27.42,0,1,-0.0,Low
12.0,6.0,2.0,4.0,120.0,10.0,4.09,0.0,0,6.0,2,1.0,27.42,0,1,0.04,Low
20.0,10.0,2.0,4.0,200.0,10.0,4.11,0.0,0,6.0,2,1.0,25.58,0,1,0.12,Low
20.0,10.0,2.0,4.0,200.0,10.0,4.11,0.0,0,6.0,2,1.0,25.58,0,1,-0.09,Low
5.17,5.17,2.58,2.58,39.83,7.71,2.25,80.64,0,12.0,0,0.47,22.8,0,0,0.19,Low
15.5,15.5,2.58,2.58,119.5,7.71,2.25,80.64,0,12.0,0,0.47,22.8,0,0,0.25,Medium
21.14,21.14,2.0,2.0,190.27,9.0,2.0,33.33,0,14.0,2,1.0,24.2,0,0,0.18,Low
21.14,21.14,2.0,2.0,190.27,9.0,2.0,33.33,0,14.0,2,1.0,24.2,0,0,0.19,Low
29.71,29.71,2.0,2.0,267.42,9.0,2.0,33.33,0,14.0,2,1.0,25.1,0,0,0.36,Medium
29.71,29.71,2.0,2.0,267.42,9.0,2.0,33.33,0,14.0,2,1.0,25.1,0,0,0.33,Medium
33.57,33.57,2.0,2.0,302.13,9.0,2.0,33.33,0,14.0,2,1.0,24.0,0,0,0.67,Medium
33.57,33.57,2.0,2.0,302.13,9.0,2.0,33.33,0,14.0,2,1.0,24.0,0,0,0.72,Medium
6.95,6.95,2.0,2.0,85.59,12.32,2.0,100.0,1,10.0,0,0.55,21.9,0,0,0.26,Medium
6.95,6.95,2.0,2.0,144.09,20.74,2.0,100.0,1,10.0,0,0.55,21.9,0,0,0.41,Medium
6.95,6.95,2.0,2.0,104.0,14.97,2.0,100.0,1,10.0,0,0.55,21.9,1,0,0.21,Medium
6.95,6.95,2.0,2.0,119.98,17.27,2.0,100.0,1,10.0,0,0.55,21.9,1,0,0.48,Medium
6.95,6.95,2.0,2.0,85.59,12.32,2.0,100.0,1,10.0,0,0.55,21.9,0,0,0.1,Low
6.95,6.95,2.0,2.0,85.59,12.32,2.0,100.0,1,10.0,0,0.55,21.9,0,0,0.28,Medium
10.5,10.5,3.0,3.0,135.87,12.94,2.0,100.0,1,10.0,0,0.5,22.3,0,0,0.34,Medium
10.5,10.5,3.0,3.0,227.43,21.66,2.0,100.0,1,10.0,0,0.5,22.3,0,0,0.49,Medium
10.5,10.5,3.0,3.0,164.54,15.67,2.0,100.0,1,10.0,0,0.5,22.3,1,0,0.28,Medium
10.5,10.5,3.0,3.0,191.84,18.27,2.0,100.0,1,10.0,0,0.5,22.3,1,0,0.59,Medium
10.5,10.5,3.0,3.0,135.87,12.94,2.0,100.0,1,10.0,0,0.5,22.3,0,0,0.01,Low
10.5,10.5,3.0,3.0,135.87,12.94,2.0,100.0,1,10.0,0,0.5,22.3,0,0,0.04,Low
13.5,13.5,1.0,1.0,118.5,8.78,2.78,0.0,0,8.0,2,0.27,21.6,0,0,0.97,High
13.5,13.5,3.0,4.0,118.5,8.78,2.78,0.0,0,8.0,2,0.36,21.5,0,0,0.49,Medium
