number,first.author,year,design,upper.lower,age,sex.male,train.status,body.mass,years.exp,sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure.nonfailure.mixed.direct,weeks,nutrition.controlled.surplus?,nutrition.controlled.deficit?,pre.mean,post.mean,pre.sd,post.sd,n,measure,outcome,hedges_g,volume_category,failure_binary,nutrition_category,train_status_enc,upper_body,hyp_class
18,Schoenfeld,2019,between,upper,23.8,100.0,trained,82.5,4.4,18.0,0.0,0.0,3.0,180.0,10.0,1.5,100.0,failure,8.0,No,No,48.4,49.8,6.2,6.3,12,Elbow Extensor MT,Hypertrophy,0.2163,High,1,None,2,1,Medium
18,Schoenfeld,2019,between,lower,23.8,100.0,trained,82.5,4.4,27.0,27.0,3.0,3.0,270.0,10.0,1.5,100.0,failure,8.0,No,No,57.9,61.0,8.1,8.7,12,Mid-Thigh MT,Hypertrophy,0.3561,High,1,None,2,0,Medium
18,Schoenfeld,2019,between,lower,23.8,100.0,trained,82.5,4.4,27.0,27.0,3.0,3.0,270.0,10.0,1.5,100.0,failure,8.0,No,No,57.9,62.5,8.0,7.0,12,Lateral Thigh MT,Hypertrophy,0.5909,High,1,None,2,0,Medium
18,Schoenfeld,2019,between,upper,23.8,100.0,trained,82.5,4.4,30.0,0.0,0.0,3.0,300.0,10.0,1.5,100.0,failure,8.0,No,No,41.9,44.8,3.6,4.1,11,Elbow Flexor MT,Hypertrophy,0.7231,High,1,None,2,1,Medium
18,Schoenfeld,2019,between,upper,23.8,100.0,trained,82.5,4.4,30.0,0.0,0.0,3.0,300.0,10.0,1.5,100.0,failure,8.0,No,No,47.1,49.7,3.5,4.9,11,Elbow Extensor MT,Hypertrophy,0.5874,High,1,None,2,1,Medium
18,Schoenfeld,2019,between,lower,23.8,100.0,trained,82.5,4.4,45.0,45.0,3.0,3.0,450.0,10.0,1.5,100.0,failure,8.0,No,No,54.4,61.2,3.4,4.5,11,Mid-Thigh MT,Hypertrophy,1.6403,High,1,None,2,0,High
18,Schoenfeld,2019,between,lower,23.8,100.0,trained,82.5,4.4,45.0,45.0,3.0,3.0,450.0,10.0,1.5,100.0,failure,8.0,No,No,52.4,59.6,6.2,5.8,11,Lateral Thigh MT,Hypertrophy,1.1538,High,1,None,2,0,High
23,Brigatto,2022,between,upper,27.9,100.0,trained,81.6,4.25,16.0,8.0,2.0,4.0,144.0,9.0,1.0,100.0,failure,8.0,No,No,38.2,38.4,3.9,3.9,9,Biceps Brachii MT,Hypertrophy,0.0488,High,1,None,2,1,Low
23,Brigatto,2022,between,upper,27.9,100.0,trained,81.6,4.25,16.0,8.0,2.0,4.0,144.0,9.0,1.0,100.0,failure,8.0,No,No,33.9,34.2,4.3,4.3,9,Triceps Brachii MT,Hypertrophy,0.0664,High,1,None,2,1,Low
23,Brigatto,2022,between,lower,27.9,100.0,trained,81.6,4.25,16.0,16.0,2.0,4.0,144.0,9.0,1.0,100.0,failure,8.0,No,No,36.2,36.9,4.4,4.0,9,Vastus Lateralis MT,Hypertrophy,0.1586,High,1,None,2,0,Low
23,Brigatto,2022,between,upper,26.4,100.0,trained,80.2,2.67,24.0,12.0,2.0,4.0,216.0,9.0,1.0,100.0,failure,8.0,No,No,38.2,38.7,4.5,4.6,9,Biceps Brachii MT,Hypertrophy,0.1047,High,1,None,2,1,Low
23,Brigatto,2022,between,upper,26.4,100.0,trained,80.2,2.67,24.0,12.0,2.0,4.0,216.0,9.0,1.0,100.0,failure,8.0,No,No,33.6,35.0,4.3,4.7,9,Triceps Brachii MT,Hypertrophy,0.296,High,1,None,2,1,Medium
23,Brigatto,2022,between,lower,26.4,100.0,trained,80.2,2.67,24.0,24.0,2.0,4.0,216.0,9.0,1.0,100.0,failure,8.0,No,No,35.4,37.4,5.0,4.6,9,Vastus Lateralis MT,Hypertrophy,0.3965,High,1,None,2,0,Medium
23,Brigatto,2022,between,upper,27.1,100.0,trained,80.0,2.83,32.0,16.0,2.0,4.0,288.0,9.0,1.0,100.0,failure,8.0,No,No,35.6,36.7,3.1,3.0,9,Biceps Brachii MT,Hypertrophy,0.3434,High,1,None,2,1,Medium
23,Brigatto,2022,between,upper,27.1,100.0,trained,80.0,2.83,32.0,16.0,2.0,4.0,288.0,9.0,1.0,100.0,failure,8.0,No,No,35.9,38.4,3.8,4.2,9,Triceps Brachii MT,Hypertrophy,0.5945,High,1,None,2,1,Medium
23,Brigatto,2022,between,lower,27.1,100.0,trained,80.0,2.83,32.0,32.0,2.0,4.0,288.0,9.0,1.0,100.0,failure,8.0,No,No,37.1,40.6,5.1,5.1,9,Vastus Lateralis MT,Hypertrophy,0.6536,High,1,None,2,0,Medium
25,Hamarsland,2022,between,lower,25.5,61.5,trained,74.6,3.5,12.0,12.0,2.0,2.0,108.0,9.0,4.0,100.0,failure,9.0,No,No,2.6,3.1,0.4,0.4,13,Vastus Lateralis MT,Hypertrophy,1.2105,Moderate,1,None,2,0,High
25,Hamarsland,2022,between,lower,26.8,37.5,trained,80.7,3.6,12.0,12.0,4.0,4.0,108.0,9.0,4.0,100.0,failure,9.0,No,No,2.4,2.9,0.5,0.4,8,Vastus Lateralis MT,Hypertrophy,1.0441,Moderate,1,None,2,0,High
26,Radaelli,2015,between,upper,24.1,100.0,untrained,79.7,3.5,6.0,3.0,3.0,3.0,60.0,10.0,1.75,100.0,failure,24.33,No,No,3.67,3.71,0.52,0.39,12,Elbow Flexors MT,Hypertrophy,0.084,Low,1,None,0,1,Low
26,Radaelli,2015,between,upper,24.1,100.0,untrained,79.7,3.5,9.0,3.0,3.0,3.0,90.0,10.0,1.75,100.0,failure,24.33,No,No,3.94,3.96,0.39,0.39,12,Elbow Extensors MT,Hypertrophy,0.0495,Moderate,1,None,0,1,Low
